2,1,1979,2.0264
3,1,1979,2.0028
4,1,1979,1.9965
5,1,1979,1.9957
8,1,1979,1.9998
9,1,1979,2.0002
10,1,1979,1.9769
11,1,1979,1.9719
12,1,1979,1.9595
15,1,1979,1.9665
16,1,1979,1.9752
17,1,1979,1.9786
18,1,1979,1.9752
19,1,1979,1.9704
22,1,1979,1.9595
23,1,1979,1.9571
24,1,1979,1.958
25,1,1979,1.9496
26,1,1979,1.9533
29,1,1979,1.9526
30,1,1979,1.954
31,1,1979,1.9453
1,2,1979,1.9331
2,2,1979,1.9284
5,2,1979,1.9361
6,2,1979,1.9432
7,2,1979,1.9581
8,2,1979,1.9495
9,2,1979,1.9494
12,2,1979,1.9509
13,2,1979,1.95
14,2,1979,1.9563
15,2,1979,1.9577
16,2,1979,1.9574
19,2,1979,1.9584
20,2,1979,1.9661
21,2,1979,1.9682
22,2,1979,1.9714
23,2,1979,1.977
26,2,1979,1.9927
27,2,1979,1.9911
28,2,1979,1.9962
1,3,1979,1.9958
2,3,1979,1.9913
5,3,1979,1.9907
6,3,1979,1.9952
7,3,1979,2.0054
8,3,1979,2.022
9,3,1979,2.0184
12,3,1979,2.0287
13,3,1979,2.026
14,3,1979,2.0213
15,3,1979,2.0143
16,3,1979,2.0114
19,3,1979,1.9975
20,3,1979,2.0086
21,3,1979,2.0067
22,3,1979,2.009
23,3,1979,2.0094
26,3,1979,2.027
27,3,1979,2.0317
28,3,1979,2.0279
29,3,1979,2.0369
30,3,1979,2.0515
2,4,1979,2.056
3,4,1979,2.0525
4,4,1979,2.0535
5,4,1979,2.0613
6,4,1979,2.0803
9,4,1979,2.0815
10,4,1979,2.092
11,4,1979,2.0785
12,4,1979,2.0739
17,4,1979,2.0717
18,4,1979,2.0563
19,4,1979,2.0636
20,4,1979,2.0448
23,4,1979,2.0462
24,4,1979,2.0458
25,4,1979,2.0185
26,4,1979,2.0178
27,4,1979,2.0339
30,4,1979,2.051
1,5,1979,2.0402
2,5,1979,2.0504
3,5,1979,2.0594
4,5,1979,2.0592
8,5,1979,2.0475
9,5,1979,2.0437
10,5,1979,2.0319
11,5,1979,2.0233
14,5,1979,2.021
15,5,1979,2.0374
16,5,1979,2.0391
17,5,1979,2.0374
18,5,1979,2.0289
21,5,1979,2.0207
22,5,1979,2.0207
23,5,1979,2.0358
24,5,1979,2.0311
25,5,1979,2.0282
29,5,1979,2.0341
30,5,1979,2.0378
31,5,1979,2.0516
1,6,1979,2.0508
4,6,1979,2.0577
5,6,1979,2.0566
6,6,1979,2.047
7,6,1979,2.0384
8,6,1979,2.0355
11,6,1979,2.0364
12,6,1979,2.0435
13,6,1979,2.0597
14,6,1979,2.0486
15,6,1979,2.0572
18,6,1979,2.0579
19,6,1979,2.0633
20,6,1979,2.0817
21,6,1979,2.0935
22,6,1979,2.0955
25,6,1979,2.1172
26,6,1979,2.097
27,6,1979,2.0995
28,6,1979,2.1138
29,6,1979,2.119
2,7,1979,2.1409
3,7,1979,2.154
4,7,1979,2.1765
5,7,1979,2.1915
6,7,1979,2.1748
9,7,1979,2.1602
10,7,1979,2.177
11,7,1979,2.1907
12,7,1979,2.1838
13,7,1979,2.1756
16,7,1979,2.1938
17,7,1979,2.2268
18,7,1979,2.234
19,7,1979,2.2575
20,7,1979,2.2338
23,7,1979,2.2638
24,7,1979,2.2845
25,7,1979,2.2794
26,7,1979,2.2863
27,7,1979,2.2695
30,7,1979,2.2682
31,7,1979,2.205
1,8,1979,2.2211
2,8,1979,2.2167
3,8,1979,2.2199
6,8,1979,2.1938
7,8,1979,2.157
